destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label,is_intrusion
53,62888,2,2,78,196,39,39,39.0,0.0,98,98,98.0,0.0,4356.952041725,63.6051392953,20962.6666666667,36265.1104001261,62838,1,49,49.0,0.0,49,49,1,1.0,0.0,1,1,0,64,80,31.8025696476,31.8025696476,39,98,62.6,32.3156308928,1044.3,0,0,0,0,0,0,0,1,78.25,39.0,98.0,64,2,78,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,626804,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,18549.65827,11.16776536,104467.3333,245959.5468,606274,8,20019,10009.5,14144.25694,20011,8,626609,208869.6667,344301.4485,606274,378,0,72,92,4.786185155,6.381580207,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,1,1661.0,8.666666667,2900.25,72,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,115913548,16,14,432,1781,432,0,27.0,108.0,1781,0,127.2142857143,475.992271846,19.0918148757,0.2588135772,3997018.89655172,4881252.24845047,10011185,41,115913548,7727569.86666667,4161951.78038313,10047911,96,110544139,8503395.30769231,3765479.45175079,10048226,952,0,520,456,0.1380339078,0.1207796693,0,1781,71.3870967742,326.629522795,106686.84516129,0,0,0,1,0,0,0,0,73.7666666667,27.0,127.2142857143,520,16,432,14,1781,29200,939,1,32,40373.9090909091,11532.9965356324,75144,36723,10009096.3636364,4392.0849097607,10011185,9997952,benign,0
80,85001125,6,6,319,11595,301,0,53.16666667,121.4486174,10136,0,1932.5,4060.245892,140.1628508,0.141174602,7727375.0,25600000.0,84800000,5,84900000,17000000.0,37900000.0,84800000,5,85000000,17000000.0,37900000.0,84900000,82,0,164,200,0.070587301,0.070587301,0,10136,916.9230769,2798.754826,7833028.577,1,0,0,0,0,0,0,1,993.3333333,53.16666667,1932.5,164,6,319,6,11595,0,235,3,20,9987.0,0.0,9987,9987,84800000.0,0.0,84800000,84800000,dos,1
6881,51,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,156862.7451,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,24,20,19607.84314,19607.84314,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,1,5.0,2.0,6.0,24,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
53,30276,1,1,56,112,56,56,56.0,0.0,112,112,112.0,0.0,5548.9496630995,66.0589245607,30276.0,0.0,30276,30276,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,33.0294622804,33.0294622804,56,112,74.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,1,112.0,56.0,112.0,20,1,56,1,112,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,103629712,15,3,2390,6,239,0,159.3333333,115.4826311,6,0,2.0,3.464101615,23.12078219,0.173695359,6095865.412,12900000.0,51300000,41,104000000,7402119.357,13900000.0,51300000,391,103000000,51300000.0,27900000.0,71000000,31600000,0,496,100,0.144746132,0.028949226,0,239,126.1052632,121.4271134,14744.54386,0,0,0,1,0,0,0,0,133.1111111,159.3333333,2.0,496,15,2390,3,6,29200,0,11,32,3703491.0,5236718.27,7406410,572,19200000.0,18800000.0,51300000,5962108,dos,1
443,115204684,36,48,834,50668,332,0,23.1666666667,62.9042356057,2796,0,1055.5833333333,721.5156574681,447.047795383,0.7291370202,1388008.24096386,3430042.26153192,10016186,2,115204684,3291562.4,4692339.2158598,10031215,4,110297603,2346757.5106383,4286479.85640948,10031402,2,0,732,1104,0.3124872944,0.4166497258,0,2796,605.9058823529,747.2507806163,558383.729131653,0,0,0,1,0,0,0,1,613.119047619,23.1666666667,1055.5833333333,732,36,834,48,50668,8192,31,35,20,23818.8181818182,28949.7052172148,111105,14992,10003257.2727273,5635.9218605463,10016186,9995957,benign,0
80,99420841,5,7,371,11595,359,0,74.2,159.2363024,4344,0,1656.428571,1947.638216,120.3570587,0.120699039,9038258.273,29900000.0,99300000,0,99300000,24800000.0,49600000.0,99300000,4,99400000,16600000.0,40500000.0,99300000,54,0,144,232,0.050291266,0.070407773,0,4344,920.9230769,1609.082423,2589146.244,1,0,0,0,0,0,0,1,997.6666667,74.2,1656.428571,144,5,371,7,11595,0,235,2,20,13985.0,0.0,13985,13985,99300000.0,0.0,99300000,99300000,dos,1
443,105839,7,10,522,3924,198,0,74.5714285714,90.0571247281,1410,0,392.4,573.3424805472,42007.1996145088,160.6213210631,6614.9375,9972.7558375724,22337,1,83690,13948.3333333333,11040.6152847867,23649,148,83713,9301.4444444445,14250.2390428293,37330,1,0,152,212,66.138191026,94.4831300371,0,1410,247.0,452.9444843271,205158.705882353,0,0,0,1,0,0,0,1,261.5294117647,74.5714285714,392.4,152,7,522,10,3924,8192,119,6,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,115520902,16,14,519,802,435,0,32.4375,107.3604326556,796,0,57.2857142857,212.6226084554,11.4351600198,0.2596932631,3983479.37931034,4864403.61081007,10006404,79,115520902,7701393.46666667,4124638.1896712,10029916,149,110254368,8481105.23076923,3756688.35815221,10029962,1009,0,332,424,0.1385030737,0.1211901895,0,796,42.6129032258,159.905112993,25569.6451612903,0,0,0,1,0,0,0,0,44.0333333333,32.4375,57.2857142857,332,16,519,14,802,8192,288,15,20,45556.9090909091,70366.1335010736,257679,23476,9978383.90909091,57486.0433695945,10006404,9805697,benign,0
443,5597948,9,7,383,6156,196,0,42.5555555556,69.9412451832,1460,0,879.4285714286,728.3046196803,1168.106599061,2.8581901797,373196.533333333,1409531.40159258,5468086,3,5597948,699743.5,1926818.56266118,5468086,3,68323,11387.1666666667,19872.7358903264,49300,68,0,192,152,1.6077319761,1.2504582036,0,1460,384.6470588235,619.3017177815,383534.617647059,0,0,0,1,0,0,0,0,408.6875,42.5555555556,879.4285714286,192,9,383,7,6156,8192,60,8,20,129859.0,0.0,129859,129859,5468086.0,0.0,5468086,5468086,benign,0
53,60784,1,1,56,112,56,56,56.0,0.0,112,112,112.0,0.0,2763.8852329561,32.9033956304,60784.0,0.0,60784,60784,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,32,16.4516978152,16.4516978152,56,112,74.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,1,112.0,56.0,112.0,20,1,56,1,112,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,85797388,8,6,303,11595,303,0,37.875,107.1266773,5792,0,1932.5,2535.308403,138.6755504,0.163175131,6599799.077,23500000.0,84800000,1,85800000,12300000.0,32000000.0,84800000,1,1334,266.8,398.2539391,951,1,0,272,200,0.093242932,0.069932199,0,5792,793.2,1796.834447,3228614.029,0,0,0,0,1,0,0,0,849.8571429,37.875,1932.5,272,8,303,6,11595,274,235,1,32,156.0,0.0,156,156,84800000.0,0.0,84800000,84800000,dos,1
53,482,1,1,53,128,53,53,53.0,0.0,128,128,128.0,0.0,375518.67219917,4149.377593361,482.0,0.0,482,482,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,2074.6887966805,2074.6887966805,53,128,78.0,43.3012701892,1875.0,0,0,0,0,0,0,0,1,117.0,53.0,128.0,32,1,53,1,128,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,98622814,7,6,368,11595,362,0,52.57142857,136.4634959,5792,0,1932.5,2181.008184,121.300534,0.131815342,8218567.833,28500000.0,98600000,0,98600000,16400000.0,40300000.0,98600000,0,11547,2309.4,4875.091825,11029,46,0,220,200,0.070977492,0.06083785,0,5792,854.5,1666.410641,2776924.423,0,0,0,0,1,0,0,0,920.2307692,52.57142857,1932.5,220,7,368,6,11595,251,235,2,20,1006.0,0.0,1006,1006,98600000.0,0.0,98600000,98600000,dos,1
80,5674709,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.1146458788,0.7048819596,1891569.66666667,3202872.76752298,5589604,120,5674709,2837354.5,3892268.56993457,5589604,85105,0,0.0,0.0,0,0,0,72,32,0.5286614697,0.1762204899,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,3.0,4.0,0.0,72,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,86008163,6,6,354,11595,354,0,59.0,144.5198948,4344,0,1932.5,1754.831473,138.9286735,0.139521641,7818923.909,25900000.0,85800000,1,85800000,17200000.0,38400000.0,85800000,1,188496,37699.2,76059.98484,173270,15,0,200,200,0.06976082,0.06976082,0,4344,919.1538462,1498.522931,2245570.974,0,0,0,0,1,0,0,1,995.75,59.0,1932.5,200,6,354,6,11595,251,235,1,32,969.0,0.0,969,969,85800000.0,0.0,85800000,85800000,dos,1
80,98367965,9,7,376,11595,376,0,41.77777778,125.3333333,5792,0,1656.428571,2118.227235,121.6961233,0.16265458,6557864.333,25400000.0,98400000,1,98400000,12300000.0,34800000.0,98400000,1,9724,1620.666667,3643.217022,9056,46,0,296,232,0.091493201,0.071161379,0,5792,704.1764706,1537.841191,2364955.529,0,0,0,0,1,0,0,0,748.1875,41.77777778,1656.428571,296,9,376,7,11595,251,235,1,32,990.0,0.0,990,990,98400000.0,0.0,98400000,98400000,dos,1
443,117009430,17,20,1240,5710,376,0,72.9411764706,103.1658074341,1430,0,285.5,449.906598494,59.3969221113,0.3162138299,3250261.94444444,13486635.499851,58358456,1,117009430,7313089.375,19834549.4052036,58447241,46,116760482,6145288.52631579,18353754.0386271,58407943,1,0,352,412,0.1452874354,0.1709263946,0,1430,182.8947368421,347.412348617,120695.33997155,0,0,0,1,0,0,0,1,187.8378378378,72.9411764706,285.5,352,17,1240,20,5710,8192,184,16,20,301893.5,74524.1049895938,354590,249197,58078297.0,396204.657420884,58358456,57798138,benign,0
9081,53,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,113207.5472,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,18867.92453,18867.92453,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
1310,46,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,130434.7826,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,21739.13043,21739.13043,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
80,2159980,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.11121399,1.851868999,719993.3333,1247062.436,2159977,1,2159980,719993.3333,1247062.436,2159977,1,0,0.0,0.0,0,0,0,80,0,1.851868999,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
123,29020,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3308.0634045486,68.9179875948,29020.0,0.0,29020,29020,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,34.4589937974,34.4589937974,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,47546,1,1,55,120,55,55,55.0,0.0,120,120,120.0,0.0,3680.6461111345,42.0645269844,47546.0,0.0,47546,47546,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,21.0322634922,21.0322634922,55,120,76.6666666667,37.5277674973,1408.3333333333,0,0,0,0,0,0,0,1,115.0,55.0,120.0,20,1,55,1,120,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,2199984,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,13.63646281,2.272743802,549996.0,1099988.667,2199979,1,2199984,549996.0,1099988.667,2199979,1,0,0.0,0.0,0,0,0,100,0,2.272743802,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.2,6.0,0.0,100,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
53,245,2,2,68,158,34,34,34.0,0.0,79,79,79.0,0.0,922448.979591837,16326.5306122449,81.6666666667,100.5849558002,195,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,88,88,8163.2653061225,8163.2653061225,34,79,52.0,24.6475150877,607.5,0,0,0,0,0,0,0,1,65.0,34.0,79.0,88,2,68,2,158,-1,-1,1,44,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,1148665,3,5,26,11607,20,0,8.666666667,10.26320288,8760,0,2321.4,3802.315321,10127.40877,6.964606739,164095.0,433778.4519,1147812,2,577,288.5,385.3731957,561,16,1148570,287142.5,573779.7166,1147812,2,0,72,112,2.611727527,4.352879212,0,8760,1292.555556,2952.520834,8717379.278,0,0,0,1,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
53,71347,2,2,62,292,31,31,31.0,0.0,146,146,146.0,0.0,4961.6662228265,56.0640251167,23782.3333333333,41186.1474810807,71340,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,40,40,28.0320125583,28.0320125583,31,146,77.0,62.9880941131,3967.5,0,0,0,0,0,0,0,1,96.25,31.0,146.0,40,2,62,2,292,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,5740882,9,5,349,3126,192,0,38.7777777778,70.8586229364,1627,0,625.2,835.472740429,605.3076861709,2.4386496709,441606.307692308,1520049.68412211,5500093,16,5740882,717610.25,1932684.32002478,5500093,29,147268,36817.0,41483.3449229929,81480,192,0,296,168,1.5677033599,0.870946311,0,1627,231.6666666667,534.1945427687,285363.80952381,0,0,0,1,0,0,0,0,248.2142857143,38.7777777778,625.2,296,9,349,5,3126,29200,110,3,32,240760.0,0.0,240760,240760,5500093.0,0.0,5500093,5500093,benign,0
443,776028,7,8,959,3542,517,0,137.0,220.3739246523,1448,0,442.75,640.6917578457,5800.04845186,19.3291994619,55430.5714285714,109715.247120559,257999,1,775855,129309.166666667,141352.677027946,258747,165,518215,74030.7142857143,125940.012558512,258417,1,0,244,264,9.0202930822,10.3089063797,0,1448,281.3125,489.7758288238,239880.3625,0,0,0,1,0,0,0,1,300.0666666667,137.0,442.75,244,7,959,8,3542,29200,243,3,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,63947,2,2,66,274,33,33,33.0,0.0,137,137,137.0,0.0,5316.9030603469,62.55180071,21315.6666666667,36916.353575798,63943,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,64,64,31.275900355,31.275900355,33,137,74.6,56.9631459805,3244.8,0,0,0,0,0,0,0,1,93.25,33.0,137.0,64,2,66,2,274,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,207,2,2,88,472,44,44,44.0,0.0,236,236,236.0,0.0,2705314.00966184,19323.6714975845,69.0,112.583302492,199,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,40,40,9661.8357487923,9661.8357487923,44,236,120.8,105.162731041,11059.2,0,0,0,0,0,0,0,1,151.0,44.0,236.0,40,2,88,2,472,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,5623857,6,4,611,149,517,0,101.8333333333,204.305082332,137,0,37.25,66.560123197,135.1385712688,1.7781390956,624873.0,1732630.44579485,5242235,3,5623857,1124771.4,2387787.6164954,5394956,3,267726,89242.0,79377.5714481112,153229,415,0,132,92,1.0668834574,0.7112556383,0,517,69.0909090909,154.0308115576,23725.4909090909,0,0,0,1,0,0,0,0,76.0,101.8333333333,37.25,132,6,611,4,149,8192,237,5,20,381619.0,0.0,381619,381619,5242235.0,0.0,5242235,5242235,benign,0
53,52340,1,1,62,78,62,62,62.0,0.0,78,78,78.0,0.0,2674.8184944593,38.211692778,52340.0,0.0,52340,52340,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,19.105846389,19.105846389,62,78,67.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,1,101.0,62.0,78.0,20,1,62,1,78,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,5985846,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,5.01182289,0.835303815,1496461.5,2990268.592,5981864,5,5985846,1496461.5,2990268.592,5981864,5,0,0.0,0.0,0,0,0,100,0,0.835303815,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.2,6.0,0.0,100,5,30,0,0,256,-1,4,20,3982.0,0.0,3982,3982,5981864.0,0.0,5981864,5981864,ddos,1
53,174,2,2,72,328,36,36,36.0,0.0,164,164,164.0,0.0,2298850.57471264,22988.5057471264,58.0,95.2627944163,168,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,64,64,11494.2528735632,11494.2528735632,36,164,87.2,70.1084873607,4915.2,0,0,0,0,0,0,0,1,109.0,36.0,164.0,64,2,72,2,328,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,1269140,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,9166.049451,6.303481097,181305.7143,479234.3779,1268107,3,765,382.5,449.0128061,700,65,1269117,317279.25,633885.2623,1268107,3,0,72,112,2.363805412,3.939675686,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
53,242,2,2,60,344,30,30,30.0,0.0,172,172,172.0,0.0,1669421.48760331,16528.9256198347,80.6666666667,137.1216005352,239,1,2,2.0,0.0,2,2,1,1.0,0.0,1,1,0,64,64,8264.4628099174,8264.4628099174,30,172,86.8,77.7766031657,6049.2,0,0,0,0,0,0,0,1,108.5,30.0,172.0,64,2,60,2,344,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,116120829,38,56,909,45802,342,0,23.9210526316,65.3863286723,2778,0,817.8928571429,764.4960474021,402.2620265655,0.809501627,1248611.06451613,3269760.69366638,10005217,1,116120829,3138400.78378378,4633225.26015259,10046438,3,110676077,2012292.30909091,4049923.71299882,10046284,1,0,772,1128,0.3272453386,0.4822562884,0,2778,491.6947368421,705.7400683828,498069.044120941,0,0,0,1,0,0,0,1,496.9255319149,23.9210526316,817.8928571429,772,38,909,56,45802,8192,4760,37,20,62412.5833333333,74106.6020534035,297732,40860,9614322.91666666,1325977.492502,10005217,5403808,benign,0
53,183,2,2,68,290,34,34,34.0,0.0,145,145,145.0,0.0,1956284.15300546,21857.9234972678,61.0,99.5941765366,176,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,64,64,10928.9617486339,10928.9617486339,34,145,78.4,60.7972038831,3696.3,0,0,0,0,0,0,0,1,98.0,34.0,145.0,64,2,68,2,290,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
22,11761405,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,404.1183855,4.506264345,226180.8654,608014.5723,2063084,3,9834620,491731.0,862004.5381,2107283,313,11800000,379395.2581,753976.7662,2063084,3,0,680,1032,1.785500967,2.720763378,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,1,89.67924528,95.61904762,85.78125,680,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,brute_force,1
1580,31,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,193548.3871,64516.12903,31.0,0.0,31,31,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,32258.06452,32258.06452,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
443,695975,8,7,796,5576,405,0,99.5,147.5107744249,1460,0,796.5714285714,673.2485566621,9155.5012751895,21.5524982938,49712.5,73522.3843086109,198790,7,647470,92495.7142857143,95377.2700450065,203628,225,497717,82952.8333333333,98831.3861451243,205345,48,0,180,152,11.4946657567,10.0578325371,0,1460,398.25,568.9248925239,323675.533333333,0,0,0,1,0,0,0,0,424.8,99.5,796.5714285714,180,8,796,7,5576,29200,254,7,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,111474293,30,30,6587,7036,1202,0,219.5666666667,425.2075098546,1448,0,234.5333333333,416.5848618546,122.2075478873,0.5382406866,1889394.79661017,3811630.13857062,10159431,8,111362550,3840087.93103448,4803007.13514709,10240032,219,111366450,3840222.4137931,4817699.54647008,10267491,48,0,968,968,0.2691203433,0.2691203433,0,1448,223.3278688525,414.9307862488,172167.557377049,0,0,0,1,0,0,0,1,227.05,219.5666666667,234.5333333333,968,30,6587,30,7036,29200,10967,8,32,1004545.6,2824444.72830365,9043051,107907,10131709.4,10260.1500010694,10159431,10123667,benign,0
80,1797058,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,6473.358122,4.451720534,256722.5714,678849.2856,1796208,3,624,312.0,371.9381669,575,49,1796982,449245.5,897975.0368,1796208,3,0,72,112,1.6693952,2.782325334,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,1,1454.125,8.666666667,2321.4,72,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,82300247,7,5,402,11595,396,0,57.42857143,149.3127112,10136,0,2319.0,4414.366206,145.7711299,0.145807582,7481840.636,24800000.0,82100000,1,82200000,13700000.0,33500000.0,82100000,1,152456,38114.0,66447.81659,137232,63,0,220,168,0.085054423,0.060753159,0,10136,922.8461538,2797.629766,7826732.308,0,0,0,0,1,0,0,0,999.75,57.42857143,2319.0,220,7,402,5,11595,274,235,2,20,4952.0,0.0,4952,4952,82100000.0,0.0,82100000,82100000,dos,1
80,331033,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,35123.38649,24.16677491,47290.42857,109749.3223,294411,54,36222,18111.0,24628.52919,35526,696,330802,82700.5,142149.7431,294411,159,0,72,112,9.062540593,15.10423432,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,1,1453.375,8.666666667,2320.2,72,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
2009,61,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,98360.65574,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,16393.44262,16393.44262,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
80,371108,3,4,358,451,358,0,119.3333333333,206.6913963699,451,0,112.75,225.5,2179.9583948608,18.8624335773,61851.3333333333,95493.0947758353,185268,4,185200,92600.0,130755.357549892,185058,142,186112,62037.3333333333,106898.024103972,185472,4,0,104,136,8.0839001046,10.7785334727,0,451,101.125,188.8895652416,35679.2678571429,0,0,0,1,0,0,0,1,115.5714285714,119.3333333333,112.75,104,3,358,4,451,29200,54,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,173291,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2658.195854,67095.23287,46.1651211,24755.85714,60144.85598,160799,33,12188,6094.0,8226.480292,11911,277,173124,43281.0,78546.54941,160799,76,0,72,112,17.31192041,28.85320069,0,5840,1291.888889,2240.544155,5020038.111,0,0,0,1,0,0,0,1,1453.375,8.666666667,2320.2,72,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,7385792,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.249482249,0.541580375,2461930.667,4263332.528,7384803,4,7385792,2461930.667,4263332.528,7384803,4,0,0.0,0.0,0,0,0,80,0,0.541580375,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,989.0,0.0,989,989,7384803.0,0.0,7384803,7384803,ddos,1
53,73801514,2,2,92,369,46,46,46.0,0.0,239,130,184.5,77.0746391493,6.2464843201,0.0541994301,24600504.6666667,42556444.7363685,73740442,407,73801107,73801107.0,0.0,73801107,73801107,73740849,73740849.0,0.0,73740849,73740849,0,52,60,0.0270997151,0.0270997151,46,239,101.4,85.0870142854,7239.8,0,0,0,0,0,0,0,1,126.75,46.0,184.5,52,2,92,2,369,-1,-1,1,20,60665.0,0.0,60665,60665,73740442.0,0.0,73740442,73740442,benign,0
80,98968937,6,7,356,11595,338,0,59.33333333,136.5498688,7240,0,1656.428571,2698.609263,120.7550608,0.131354346,8247411.417,28500000.0,98800000,3,98800000,19800000.0,44200000.0,98800000,32,99000000,16500000.0,40300000.0,98800000,3,0,164,232,0.060625083,0.070729263,0,7240,854.0714286,2015.392631,4061807.456,1,0,0,0,0,0,0,1,919.7692308,59.33333333,1656.428571,164,6,356,7,11595,0,235,3,20,13996.0,0.0,13996,13996,98800000.0,0.0,98800000,98800000,dos,1
53,23353,1,1,72,136,72,72,72.0,0.0,136,136,136.0,0.0,8906.7785723462,85.6421016572,23353.0,0.0,23353,23353,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,42.8210508286,42.8210508286,72,136,93.3333333333,36.9504172281,1365.3333333333,0,0,0,0,0,0,0,1,140.0,72.0,136.0,32,1,72,1,136,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,99435695,5,7,353,11595,341,0,70.6,151.1879625,5792,0,1656.428571,2120.732252,120.1580579,0.120681009,9039608.636,29900000.0,99300000,2,99300000,24800000.0,49700000.0,99300000,2,99400000,16600000.0,40500000.0,99300000,46,0,144,232,0.050283754,0.070397255,0,5792,919.5384615,1715.506418,2942962.269,1,0,0,0,0,0,0,1,996.1666667,70.6,1656.428571,144,5,353,7,11595,0,235,2,20,12003.0,0.0,12003,12003,99300000.0,0.0,99300000,99300000,dos,1
